Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 65536 strings array; 14946.703 sort μs; 4016.968 rand gen μs; 75.894 overhead μs; 19039.565 total μs; 319106.000 swaps; 1393042.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 131072 strings array; 31386.525 sort μs; 8036.108 rand gen μs; 223.631 overhead μs; 39646.264 total μs; 671069.000 swaps; 2959689.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 262144 strings array; 68730.808 sort μs; 16186.261 rand gen μs; 512.181 overhead μs; 85429.250 total μs; 1401146.000 swaps; 6446996.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 524288 strings array; 143238.458 sort μs; 32228.901 rand gen μs; 1506.173 overhead μs; 176973.532 total μs; 2907835.000 swaps; 13688261.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 1048576 strings array; 305886.609 sort μs; 64410.916 rand gen μs; 2965.285 overhead μs; 373262.810 total μs; 6092784.000 swaps; 28915012.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 2097152 strings array; 633924.574 sort μs; 129194.152 rand gen μs; 5896.301 overhead μs; 769015.027 total μs; 12649079.000 swaps; 59339886.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1329440.037 sort μs; 257555.441 rand gen μs; 12259.988 overhead μs; 1599255.466 total μs; 26341755.000 swaps; 124353321.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2832732.634 sort μs; 515729.090 rand gen μs; 23806.738 overhead μs; 3372268.462 total μs; 54447721.000 swaps; 266532975.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16777216 strings array; 5908546.330 sort μs; 1031577.958 rand gen μs; 48184.713 overhead μs; 6988309.001 total μs; 112488063.000 swaps; 554511632.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 33554432 strings array; 12180131.971 sort μs; 2062583.167 rand gen μs; 96216.501 overhead μs; 14338931.639 total μs; 234138132.000 swaps; 1124120476.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 67108864 strings array; 25765661.327 sort μs; 4122557.988 rand gen μs; 193132.971 overhead μs; 30081352.286 total μs; 482518356.000 swaps; 2391967680.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 134217728 strings array; 53931118.039 sort μs; 8245017.190 rand gen μs; 385549.053 overhead μs; 62561684.282 total μs; 991836348.000 swaps; 5008495928.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 268435456 strings array; 112635090.420 sort μs; 16494793.074 rand gen μs; 767260.809 overhead μs; 129897144.303 total μs; 2046034269.000 swaps; 10441503254.000 compares
