Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 512 strings array; 135.792 sort μs; 433.194 rand gen μs; 1.010 overhead μs; 569.996 total μs; 1669.100 swaps; 6077.800 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 512 strings array; 162.896 sort μs; 877.554 rand gen μs; 1.080 overhead μs; 1041.530 total μs; 1669.400 swaps; 6350.200 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 512 strings array; 224.088 sort μs; 1762.483 rand gen μs; 1.675 overhead μs; 1988.246 total μs; 1668.500 swaps; 6157.400 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 512 strings array; 308.230 sort μs; 3432.045 rand gen μs; 3.575 overhead μs; 3743.851 total μs; 1671.800 swaps; 6088.400 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 1024 strings array; 152.584 sort μs; 53.931 rand gen μs; 2.784 overhead μs; 209.298 total μs; 3588.800 swaps; 13784.600 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 1024 strings array; 147.746 sort μs; 57.088 rand gen μs; 0.944 overhead μs; 205.779 total μs; 3560.700 swaps; 13809.300 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 1024 strings array; 152.773 sort μs; 63.419 rand gen μs; 0.933 overhead μs; 217.125 total μs; 3565.900 swaps; 13588.700 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 1024 strings array; 169.828 sort μs; 112.315 rand gen μs; 0.915 overhead μs; 283.058 total μs; 3581.700 swaps; 13605.400 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 1024 strings array; 179.948 sort μs; 219.475 rand gen μs; 0.952 overhead μs; 400.375 total μs; 3563.000 swaps; 13865.600 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 1024 strings array; 182.077 sort μs; 442.789 rand gen μs; 0.981 overhead μs; 625.846 total μs; 3563.100 swaps; 13702.700 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 1024 strings array; 300.049 sort μs; 872.944 rand gen μs; 1.151 overhead μs; 1174.145 total μs; 3546.200 swaps; 14125.800 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 1024 strings array; 358.245 sort μs; 1776.479 rand gen μs; 2.738 overhead μs; 2137.461 total μs; 3558.000 swaps; 13928.000 compares
