Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 1024 strings array; 130.124 sort μs; 52.371 rand gen μs; 2.132 overhead μs; 184.627 total μs; 3609.600 swaps; 13357.700 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 1024 strings array; 120.405 sort μs; 56.126 rand gen μs; 1.436 overhead μs; 177.967 total μs; 3578.400 swaps; 13571.700 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 1024 strings array; 148.026 sort μs; 70.404 rand gen μs; 1.476 overhead μs; 219.906 total μs; 3555.000 swaps; 13660.000 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 1024 strings array; 139.722 sort μs; 120.750 rand gen μs; 1.534 overhead μs; 262.007 total μs; 3567.400 swaps; 13795.100 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 1024 strings array; 168.806 sort μs; 223.773 rand gen μs; 2.160 overhead μs; 394.739 total μs; 3575.100 swaps; 13747.800 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 1024 strings array; 147.201 sort μs; 445.517 rand gen μs; 2.542 overhead μs; 595.261 total μs; 3546.600 swaps; 14072.200 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 1024 strings array; 152.248 sort μs; 891.349 rand gen μs; 2.575 overhead μs; 1046.171 total μs; 3559.100 swaps; 13788.100 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 1024 strings array; 146.246 sort μs; 1752.825 rand gen μs; 2.980 overhead μs; 1902.050 total μs; 3573.000 swaps; 13640.600 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 1024 strings array; 148.883 sort μs; 3495.249 rand gen μs; 3.519 overhead μs; 3647.651 total μs; 3575.600 swaps; 13603.600 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 1024 strings array; 149.641 sort μs; 6830.775 rand gen μs; 15.773 overhead μs; 6996.188 total μs; 3569.100 swaps; 13702.100 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 2048 strings array; 286.193 sort μs; 104.379 rand gen μs; 2.998 overhead μs; 393.570 total μs; 7688.900 swaps; 29838.000 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 2048 strings array; 260.736 sort μs; 112.670 rand gen μs; 2.034 overhead μs; 375.440 total μs; 7588.100 swaps; 31155.000 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 2048 strings array; 283.391 sort μs; 127.239 rand gen μs; 1.997 overhead μs; 412.627 total μs; 7605.400 swaps; 30418.600 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 2048 strings array; 289.478 sort μs; 225.974 rand gen μs; 2.270 overhead μs; 517.722 total μs; 7606.500 swaps; 30431.500 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 2048 strings array; 374.411 sort μs; 455.905 rand gen μs; 3.178 overhead μs; 833.493 total μs; 7558.000 swaps; 30882.600 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 2048 strings array; 315.593 sort μs; 903.215 rand gen μs; 7.048 overhead μs; 1225.856 total μs; 7608.400 swaps; 30548.100 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 2048 strings array; 320.446 sort μs; 1751.932 rand gen μs; 6.229 overhead μs; 2078.607 total μs; 7644.800 swaps; 29969.800 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 2048 strings array; 313.863 sort μs; 3437.897 rand gen μs; 5.059 overhead μs; 3756.819 total μs; 7610.400 swaps; 30449.300 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 2048 strings array; 314.139 sort μs; 6798.341 rand gen μs; 5.107 overhead μs; 7117.587 total μs; 7588.300 swaps; 30423.300 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 2048 strings array; 322.945 sort μs; 13635.890 rand gen μs; 27.670 overhead μs; 13986.505 total μs; 7628.400 swaps; 30705.500 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 4096 strings array; 617.410 sort μs; 207.316 rand gen μs; 4.572 overhead μs; 829.298 total μs; 16463.600 swaps; 65502.100 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 4096 strings array; 557.365 sort μs; 225.971 rand gen μs; 3.161 overhead μs; 786.497 total μs; 16214.300 swaps; 66258.000 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 4096 strings array; 612.535 sort μs; 254.368 rand gen μs; 3.114 overhead μs; 870.018 total μs; 16162.100 swaps; 66407.700 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 4096 strings array; 628.064 sort μs; 452.487 rand gen μs; 3.724 overhead μs; 1084.275 total μs; 16191.900 swaps; 66077.600 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 4096 strings array; 788.821 sort μs; 886.225 rand gen μs; 5.560 overhead μs; 1680.605 total μs; 16194.800 swaps; 67276.800 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 4096 strings array; 673.158 sort μs; 1779.669 rand gen μs; 8.395 overhead μs; 2461.222 total μs; 16133.000 swaps; 66236.600 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 4096 strings array; 696.914 sort μs; 3515.793 rand gen μs; 8.518 overhead μs; 4221.224 total μs; 16146.400 swaps; 67176.000 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 4096 strings array; 668.557 sort μs; 6873.194 rand gen μs; 9.780 overhead μs; 7551.532 total μs; 16156.900 swaps; 65724.700 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 4096 strings array; 677.009 sort μs; 13586.977 rand gen μs; 9.295 overhead μs; 14273.281 total μs; 16181.800 swaps; 66162.600 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 4096 strings array; 684.287 sort μs; 27121.447 rand gen μs; 21.405 overhead μs; 27827.140 total μs; 16192.500 swaps; 65835.400 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 8192 strings array; 1317.696 sort μs; 419.720 rand gen μs; 6.416 overhead μs; 1743.833 total μs; 35287.500 swaps; 139133.900 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 8192 strings array; 1215.591 sort μs; 454.068 rand gen μs; 5.710 overhead μs; 1675.369 total μs; 34198.900 swaps; 145641.600 compares
