Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 128 strings array; 13.153 sort μs; 111.375 rand gen μs; 0.381 overhead μs; 124.908 total μs; 355.930 swaps; 1173.400 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 128 strings array; 12.565 sort μs; 845.808 rand gen μs; 0.413 overhead μs; 858.787 total μs; 355.005 swaps; 1192.825 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 256 strings array; 24.048 sort μs; 16.132 rand gen μs; 0.478 overhead μs; 40.658 total μs; 772.080 swaps; 2744.235 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 256 strings array; 29.536 sort μs; 221.811 rand gen μs; 0.452 overhead μs; 251.800 total μs; 772.555 swaps; 2711.140 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 256 strings array; 28.756 sort μs; 1709.362 rand gen μs; 0.606 overhead μs; 1738.723 total μs; 772.575 swaps; 2719.990 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 512 strings array; 55.532 sort μs; 33.330 rand gen μs; 0.686 overhead μs; 89.547 total μs; 1667.545 swaps; 6155.750 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 512 strings array; 66.015 sort μs; 443.401 rand gen μs; 0.742 overhead μs; 510.157 total μs; 1664.630 swaps; 6167.865 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 512 strings array; 63.369 sort μs; 3397.806 rand gen μs; 0.790 overhead μs; 3461.964 total μs; 1664.235 swaps; 6163.885 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 1024 strings array; 120.186 sort μs; 65.562 rand gen μs; 0.981 overhead μs; 186.729 total μs; 3565.610 swaps; 13780.030 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 1024 strings array; 146.337 sort μs; 886.490 rand gen μs; 1.219 overhead μs; 1034.045 total μs; 3565.040 swaps; 13745.695 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 1024 strings array; 139.592 sort μs; 6783.560 rand gen μs; 1.172 overhead μs; 6924.324 total μs; 3568.210 swaps; 13707.200 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 16 strings array; 0.819 sort μs; 1.222 rand gen μs; 0.417 overhead μs; 2.459 total μs; 54.975 swaps; 45.705 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 16 strings array; 0.888 sort μs; 14.033 rand gen μs; 0.304 overhead μs; 15.225 total μs; 55.055 swaps; 45.845 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 16 strings array; 0.927 sort μs; 108.191 rand gen μs; 0.285 overhead μs; 109.403 total μs; 54.815 swaps; 45.680 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 32 strings array; 1.986 sort μs; 2.314 rand gen μs; 0.352 overhead μs; 4.652 total μs; 140.405 swaps; 121.520 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 32 strings array; 2.102 sort μs; 28.251 rand gen μs; 0.322 overhead μs; 30.675 total μs; 140.130 swaps; 121.515 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 32 strings array; 2.190 sort μs; 215.129 rand gen μs; 0.367 overhead μs; 217.686 total μs; 140.990 swaps; 121.610 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 64 strings array; 4.646 sort μs; 4.325 rand gen μs; 0.412 overhead μs; 9.383 total μs; 344.285 swaps; 304.800 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 64 strings array; 4.999 sort μs; 56.048 rand gen μs; 0.321 overhead μs; 61.367 total μs; 343.985 swaps; 304.585 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 64 strings array; 5.283 sort μs; 431.173 rand gen μs; 0.469 overhead μs; 436.925 total μs; 343.920 swaps; 305.345 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 128 strings array; 10.639 sort μs; 8.597 rand gen μs; 0.416 overhead μs; 19.652 total μs; 817.150 swaps; 736.930 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 128 strings array; 11.701 sort μs; 112.595 rand gen μs; 0.381 overhead μs; 124.677 total μs; 816.340 swaps; 736.565 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 128 strings array; 11.838 sort μs; 848.286 rand gen μs; 0.457 overhead μs; 860.582 total μs; 815.995 swaps; 735.845 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 256 strings array; 23.554 sort μs; 16.191 rand gen μs; 0.490 overhead μs; 40.236 total μs; 1886.465 swaps; 1725.600 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 256 strings array; 26.231 sort μs; 222.183 rand gen μs; 0.456 overhead μs; 248.871 total μs; 1887.045 swaps; 1726.680 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 256 strings array; 27.093 sort μs; 1698.269 rand gen μs; 0.880 overhead μs; 1726.242 total μs; 1886.655 swaps; 1726.325 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 512 strings array; 54.260 sort μs; 33.025 rand gen μs; 0.698 overhead μs; 87.983 total μs; 4286.395 swaps; 3962.205 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 512 strings array; 59.892 sort μs; 445.467 rand gen μs; 0.841 overhead μs; 506.200 total μs; 4285.275 swaps; 3962.555 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 512 strings array; 61.611 sort μs; 3397.343 rand gen μs; 0.815 overhead μs; 3459.769 total μs; 4285.080 swaps; 3963.655 compares
Merge Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 1024 strings array; 120.113 sort μs; 64.694 rand gen μs; 0.956 overhead μs; 185.764 total μs; 9594.200 swaps; 8947.305 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 1024 strings array; 133.451 sort μs; 883.593 rand gen μs; 1.224 overhead μs; 1018.269 total μs; 9593.350 swaps; 8945.605 compares
Merge Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 1024 strings array; 136.414 sort μs; 6808.650 rand gen μs; 1.167 overhead μs; 6946.231 total μs; 9596.100 swaps; 8949.405 compares
Quick Sort; std::string type; 8 byte length; 200 iteration; 16 strings array; 1.660 sort μs; 1.884 rand gen μs; 0.610 overhead μs; 4.155 total μs; 32.320 swaps; 79.915 compares
Quick Sort; std::string type; 8 byte length; 200 iteration; 32 strings array; 3.924 sort μs; 3.259 rand gen μs; 0.781 overhead μs; 7.964 total μs; 73.605 swaps; 208.590 compares
Quick Sort; std::string type; 8 byte length; 200 iteration; 64 strings array; 9.082 sort μs; 6.337 rand gen μs; 1.288 overhead μs; 16.706 total μs; 162.120 swaps; 502.575 compares
Quick Sort; std::string type; 8 byte length; 200 iteration; 128 strings array; 20.746 sort μs; 12.415 rand gen μs; 2.120 overhead μs; 35.281 total μs; 355.910 swaps; 1183.795 compares
